Opinions,Original Drivers,Assigned Cluster Number,Percentage of Confidence in Assigned Cluster Number,Assigned Driver,Count for max cluster,Model
Saw the car on the road today and i found it to have good enough road presence.,Road Presence,5,0.8915308,Road Presence,16,wAd_lda_42
And boot space is extra large.,Boot Space,5,0.8047571,Road Presence,16,wAd_lda_42
It has very weak road presence compared to even a creta.,Road Presence,5,0.38199112,Road Presence,16,wAd_lda_42
Creta as a whole is a perfect car and it has good road presence and dynamic,Road Presence,5,0.3487571,Road Presence,16,wAd_lda_42
"The sunroof(kids are crazy about it)
 decent ground clearance
 lovely music system seamlessly connects to my phone 
 wireless charger.",Infotainment System,5,0.63977337,Road Presence,16,wAd_lda_42
More space and a much better road presence.,Road Presence,5,0.6047443,Road Presence,16,wAd_lda_42
MG Hector in comparison looks like a mpv in the side angle and also the ground clearance is very bad.,Ground Clearance,5,0.76628846,Road Presence,16,wAd_lda_42
It has an immense road presence.,Road Presence,5,0.67459893,Road Presence,16,wAd_lda_42
It has large wheels and decent boot space.,Boot Space,5,0.5078118,Road Presence,16,wAd_lda_42
It has a very imposing road presence.,Road Presence,5,0.6745989,Road Presence,16,wAd_lda_42
Large boot space is available.,Boot Space,5,0.8047549,Road Presence,16,wAd_lda_42
"Wonderful in its road presence,",Road Presence,5,0.5061908,Road Presence,16,wAd_lda_42
Road presence is good and looks are quite modern.,Road Presence,5,0.8047571,Road Presence,16,wAd_lda_42
It has some good list of features and most importantly has a tempting road presence that every Indian car buyer always wants.,Road Presence,5,0.91864383,Road Presence,16,wAd_lda_42
Boot space is also nice.,Boot Space,5,0.50101537,Road Presence,16,wAd_lda_42
Boot space is quite good and must be on par with creta.,Boot Space,5,0.596135,Road Presence,16,wAd_lda_42
The boot space is quite good.,Boot Space,5,0.75595003,Road Presence,16,wAd_lda_42
The boot space is really good.,Boot Space,5,0.75595003,Road Presence,16,wAd_lda_42
So the base ex-showroom sticker price + extra tax % + extra registration % + extra insurance premium % altogether will result in an overall higher price hike compared to just the cost of the engine+exhaust components.,Cost,5,0.7450872,Road Presence,16,wAd_lda_42
The boot space is remarkable.,Boot Space,5,0.7559493,Road Presence,16,wAd_lda_42
The car has a large panoramic sunroof in which at least 3 kids can stand easily.,Sunroof,5,0.87797177,Road Presence,16,wAd_lda_42
"It has excellent road presence, good looks.",Road Presence,5,0.8372972,Road Presence,16,wAd_lda_42
It looks so good!,Looks,5,0.67459047,Road Presence,16,wAd_lda_42
"The cladding around the sunroof (interior), stitching and finishing were altogether a little disappointing.",Sunroof,5,0.89152396,Road Presence,16,wAd_lda_42
The main pros of xuv is the looks and the road presence,Road Presence,5,0.594046,Road Presence,16,wAd_lda_42
The boot space is very limited when all the 7 seats are up.,Boot Space,5,0.75594515,Road Presence,16,wAd_lda_42
The hector has a large panoramic sunroof in which at least 3 kids can stand easily.,Sunroof,5,0.552782,Road Presence,16,wAd_lda_42
Car is having a large boot space and available at a different price range.,Boot Space,5,0.9023743,Road Presence,16,wAd_lda_42
Real off-road car with premium looks.,Road Presence,5,0.41264406,Road Presence,16,wAd_lda_42
"Excellent
 boot space is good",Boot Space,5,0.80475867,Road Presence,16,wAd_lda_42
Striking design with a great road presence.,Road Presence,5,0.38514528,Road Presence,16,wAd_lda_42
